PRIMARY_DIAGNOSIS|SECONDARY_DIAGNOSIS|PRIMARY_DIAGNOSIS_DESC|PRIMARY_BLOCKS_OF_CATEGORIES|SECONDARY_DIAGNOSIS_DESC|SECONDARY_BLOCKS_OF_CATEGORIES|COUNT(DISTINCTCLAIMS_ID)
J31.2|J04|chronic pharyngitis|other diseases of upper respiratory tract|acute laryngitis and tracheitis|acute upper respiratory infections|9
K21.9|J04|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|acute laryngitis and tracheitis|acute upper respiratory infections|7
K30|J04|dyspepsia|diseases of oesophagus, stomach and duodenum|acute laryngitis and tracheitis|acute upper respiratory infections|7
R05|J04|cough (batuk)|symptoms and signs involving the circulatory and respiratory systems|acute laryngitis and tracheitis|acute upper respiratory infections|7
R50.9|J04|fever|general symptoms and signs|acute laryngitis and tracheitis|acute upper respiratory infections|7
H61.2|J06.0|impacted cerumen (kotoran di telinga)|diseases of external ear|acute laryngopharyngitis|acute upper respiratory infections|7
J01|J06.0|acute sinusitis|acute upper respiratory infections|acute laryngopharyngitis|acute upper respiratory infections|21
J02|J06.0|acute pharyngitis|acute upper respiratory infections|acute laryngopharyngitis|acute upper respiratory infections|144
J03|J06.0|acute tonsilitis|acute upper respiratory infections|acute laryngopharyngitis|acute upper respiratory infections|14
J06|J06.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute laryngopharyngitis|acute upper respiratory infections|42
J06.8|J06.0|other acute upper respiratory infections of multiple sites|acute upper respiratory infections|acute laryngopharyngitis|acute upper respiratory infections|7
J30|J06.0|vasomotor and allergic rhinitis|other diseases of upper respiratory tract|acute laryngopharyngitis|acute upper respiratory infections|9
J30.4|J06.0|allergic rhinitis|other diseases of upper respiratory tract|acute laryngopharyngitis|acute upper respiratory infections|15
J31|J06.0|chronic rhinitis|other diseases of upper respiratory tract|acute laryngopharyngitis|acute upper respiratory infections|10
J31.2|J06.0|chronic pharyngitis|other diseases of upper respiratory tract|acute laryngopharyngitis|acute upper respiratory infections|10
J32|J06.0|chronic sinusitis|other diseases of upper respiratory tract|acute laryngopharyngitis|acute upper respiratory infections|6
K21.9|J06.0|gastro-oesophageal reflux disease without oesophagitis|diseases of oesophagus, stomach and duodenum|acute laryngopharyngitis|acute upper respiratory infections|8
R50.9|J06.0|fever|general symptoms and signs|acute laryngopharyngitis|acute upper respiratory infections|13
A01.0|L04|typhoid fever |intestinal infectious diseases|acute lymphadenitis|infections of the skin and subcutaneous tissue|7
A09|L04|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|acute lymphadenitis|infections of the skin and subcutaneous tissue|7
A15|L04|respiratory tuberculosis- bacteriologically and histologically confirmed|tuberculosis|acute lymphadenitis|infections of the skin and subcutaneous tissue|12
A15.0|L04|tuberculosis of lung|tuberculosis|acute lymphadenitis|infections of the skin and subcutaneous tissue|46
B26|L04|mumps|other viral diseases|acute lymphadenitis|infections of the skin and subcutaneous tissue|22
D36|L04|benign neoplasm of other and unspecified sites|benign neoplasms|acute lymphadenitis|infections of the skin and subcutaneous tissue|17
E05|L04|thyrotoxicosis (hyperthyroidism)|disorders of thyroid gland|acute lymphadenitis|infections of the skin and subcutaneous tissue|7
E07|L04|other disorders of thyroid|disorders of thyroid gland|acute lymphadenitis|infections of the skin and subcutaneous tissue|6
J00|L04|acute nasopharyngitis (common cold)|acute upper respiratory infections|acute lymphadenitis|infections of the skin and subcutaneous tissue|9
J02|L04|acute pharyngitis|acute upper respiratory infections|acute lymphadenitis|infections of the skin and subcutaneous tissue|91
J03|L04|acute tonsilitis|acute upper respiratory infections|acute lymphadenitis|infections of the skin and subcutaneous tissue|35
J06|L04|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute lymphadenitis|infections of the skin and subcutaneous tissue|111
J06.8|L04|other acute upper respiratory infections of multiple sites|acute upper respiratory infections|acute lymphadenitis|infections of the skin and subcutaneous tissue|12
J31|L04|chronic rhinitis|other diseases of upper respiratory tract|acute lymphadenitis|infections of the skin and subcutaneous tissue|11
J40|L04|bronchitis|chronic lower respiratory diseases|acute lymphadenitis|infections of the skin and subcutaneous tissue|8
K30|L04|dyspepsia|diseases of oesophagus, stomach and duodenum|acute lymphadenitis|infections of the skin and subcutaneous tissue|12
L02|L04|cutaneous abscess|infections of the skin and subcutaneous tissue|acute lymphadenitis|infections of the skin and subcutaneous tissue|6
L23|L04|allergic contact dermatitis|dermatitis and eczema|acute lymphadenitis|infections of the skin and subcutaneous tissue|6
L30|L04|other dermatitis|dermatitis and eczema|acute lymphadenitis|infections of the skin and subcutaneous tissue|8
L50|L04|urticaria/pruritus (gatal-gatal)|urticaria and erythema|acute lymphadenitis|infections of the skin and subcutaneous tissue|6
M79|L04|other soft tissue disorders|soft tissue disorders|acute lymphadenitis|infections of the skin and subcutaneous tissue|10
M79.1|L04|myalgia (nyeri otot|soft tissue disorders|acute lymphadenitis|infections of the skin and subcutaneous tissue|7
N60.2|L04|fibroadenosis of breast/fam|disorders of breast|acute lymphadenitis|infections of the skin and subcutaneous tissue|7
R50.9|L04|fever|general symptoms and signs|acute lymphadenitis|infections of the skin and subcutaneous tissue|44
J02|J01.0|acute pharyngitis|acute upper respiratory infections|acute maxillary sinusitis|acute upper respiratory infections|12
J03|J01.0|acute tonsilitis|acute upper respiratory infections|acute maxillary sinusitis|acute upper respiratory infections|6
J06|J01.0|acute upper respiratory infections of multiple and unspecified sites/urti/ ispa|acute upper respiratory infections|acute maxillary sinusitis|acute upper respiratory infections|16
J18|J01.0|pneumonia|influenza and pneumonia|acute maxillary sinusitis|acute upper respiratory infections|6
J20|J01.0|acute bronchitis|other acute lower respiratory infections|acute maxillary sinusitis|acute upper respiratory infections|10
J30.4|J01.0|allergic rhinitis|other diseases of upper respiratory tract|acute maxillary sinusitis|acute upper respiratory infections|14
R51|J01.0|headache ( cephalgia)|general symptoms and signs|acute maxillary sinusitis|acute upper respiratory infections|7
I25.1|I21|coronary atrial diseases (cad)|ischaemic heart diseases|acute myocardial infarction|ischaemic heart diseases|6
A01.0|J00|typhoid fever |intestinal infectious diseases|acute nasopharyngitis (common cold)|acute upper respiratory infections|102
A09|J00|diarrhoea and gastroenteritis of presumed infectious origin(ged)|intestinal infectious diseases|acute nasopharyngitis (common cold)|acute upper respiratory infections|399
A15.0|J00|tuberculosis of lung|tuberculosis|acute nasopharyngitis (common cold)|acute upper respiratory infections|29
A49|J00|bacterial infection of unspecified site|other bacterial diseases|acute nasopharyngitis (common cold)|acute upper respiratory infections|12
A88.1|J00|epidemic vertigo|viral infections of the central nervous system|acute nasopharyngitis (common cold)|acute upper respiratory infections|8
A90|J00|dengue fever|arthropod-borne viral fevers and viral haemorrhagic fevers|acute nasopharyngitis (common cold)|acute upper respiratory infections|42
A91|J00|dengue haemorrhagic fever (demam berdarah dengue)|arthropod-borne viral fevers and viral haemorrhagic fevers|acute nasopharyngitis (common cold)|acute upper respiratory infections|38
B01|J00|varicella (chickenpox)|viral infections characterized by skin and mucous membrane lesions|acute nasopharyngitis (common cold)|acute upper respiratory infections|14
B26|J00|mumps|other viral diseases|acute nasopharyngitis (common cold)|acute upper respiratory infections|9
B34|J00|viral infection of unspecified sites|other viral diseases|acute nasopharyngitis (common cold)|acute upper respiratory infections|30
B34.9|J00|viral infection, unspecified|other viral diseases|acute nasopharyngitis (common cold)|acute upper respiratory infections|36
B86|J00|scabies|pediculosis, acariasis and other infestations|acute nasopharyngitis (common cold)|acute upper respiratory infections|6
E11|J00|non-insulin-dependent diabetes mellitus|diabetes mellitus|acute nasopharyngitis (common cold)|acute upper respiratory infections|16
E13|J00|other specified diabetes mellitus|diabetes mellitus|acute nasopharyngitis (common cold)|acute upper respiratory infections|16
E78.0|J00|pure hypercholesterolemia|metabolic disorders|acute nasopharyngitis (common cold)|acute upper respiratory infections|8
E78.5|J00|hyperlipidaemia|metabolic disorders|acute nasopharyngitis (common cold)|acute upper respiratory infections|27
E79.0|J00|hyperurecaemia without signs of inflammatory arthritis and tophaceous disease|metabolic disorders|acute nasopharyngitis (common cold)|acute upper respiratory infections|6
G44.2|J00|tension type headache|episodic and paroxysmal disorders|acute nasopharyngitis (common cold)|acute upper respiratory infections|15
H00|J00|hordeolum and chalazion|disorders of eyelid, lacrimal system and orbit|acute nasopharyngitis (common cold)|acute upper respiratory infections|16
H10|J00|conjunctivitis (infeksi conjunctiva)|disorders of conjunctiva|acute nasopharyngitis (common cold)|acute upper respiratory infections|63
H10.9|J00|conjunctivitis, unspecified|disorders of conjunctiva|acute nasopharyngitis (common cold)|acute upper respiratory infections|14
H60|J00|otitis externa|diseases of external ear|acute nasopharyngitis (common cold)|acute upper respiratory infections|15
H60.9|J00|otitis externa|diseases of external ear|acute nasopharyngitis (common cold)|acute upper respiratory infections|6
H61.2|J00|impacted cerumen (kotoran di telinga)|diseases of external ear|acute nasopharyngitis (common cold)|acute upper respiratory infections|36
H65|J00|nonsuppurative otitis media|diseases of middle ear and mastoid|acute nasopharyngitis (common cold)|acute upper respiratory infections|6
H66.9|J00|otitis media|diseases of middle ear and mastoid|acute nasopharyngitis (common cold)|acute upper respiratory infections|21
H69|J00|other disorders of eusthacian tube|diseases of middle ear and mastoid|acute nasopharyngitis (common cold)|acute upper respiratory infections|6
H81.1|J00|benign paroxysmal vertigo|diseases of inner ear|acute nasopharyngitis (common cold)|acute upper respiratory infections|7
H82|J00|vertiginous syndromes in diseases classified elsewhere|diseases of inner ear|acute nasopharyngitis (common cold)|acute upper respiratory infections|26
I10|J00|essential (primary) hypertension|hypertensive diseases|acute nasopharyngitis (common cold)|acute upper respiratory infections|47
I15|J00|secondary hypertension|hypertensive diseases|acute nasopharyngitis (common cold)|acute upper respiratory infections|45
I84|J00|haemorrhoids (ambein)|diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|acute nasopharyngitis (common cold)|acute upper respiratory infections|9
J00|J00|acute nasopharyngitis (common cold)|acute upper respiratory infections|acute nasopharyngitis (common cold)|acute upper respiratory infections|7
J01|J00|acute sinusitis|acute upper respiratory infections|acute nasopharyngitis (common cold)|acute upper respiratory infections|15
J02|J00|acute pharyngitis|acute upper respiratory infections|acute nasopharyngitis (common cold)|acute upper respiratory infections|297
J02.9|J00|acute pharyngitis|acute upper respiratory infections|acute nasopharyngitis (common cold)|acute upper respiratory infections|10
